Widget number,Position X,Position Y,Width,Height,Table tag,List tag,Textbox tag,Widget class,Number of Elements,Number of Child Nodes,numberOfWordsTextNodes,numberOfTextNodes,links80percent,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
002,0,0,13,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,511,0,1040,0,0,1,0,1,63,4,34,15,0,146.75,210.0,675.25,29.0,123.47300649669681,338.29671394600723,788.7100755875591,34.46737587922817,
002,0,0,45,50,0,0,0,0,3,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,202,717,0,1,0,0,50,1,26,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,1205,48,295,52,0,0,0,0,4,4,8,4,0,92.25,31.0,989.75,50.5,31.28764399354267,17.358955421722047,665.3757710246643,33.6699668349505,
002,1205,67,138,23,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,1343,67,68,23,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,36,50,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,36,50,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,13,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,697,13,0,0,0,0,11,1,17,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,133,0,0,0,0,0,0,207,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,6156,0,0,0,0,0,0,6054,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,87,62,0,1,0,0,4,2,23,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,1903,3898,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,0,4,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,1411,68,85,21,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,0,0,78,57,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,0,0,20,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
004,1496,68,45,21,0,0,0,0,2,2,0,0,0,18.0,9.5,759.5,37.0,2.8284271247461903,13.435028842544403,1074.0952006223656,52.32590180780452,
005,1519,70,16,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,511,8,620,39,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
006,1085,8,46,39,0,0,0,0,2,1,1,1,0,16.0,17.0,1100.0,20.0,0.0,0.0,0.0,0.0,
006,1100,20,16,17,0,0,0,0,1,1,1,1,0,50.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,0,0,50,22,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,361,56,769,34,0,1,0,1,51,1,74,38,0,769.0,0.0,361.0,68.0,0.0,0.0,0.0,0.0,
007,361,68,769,0,0,1,0,1,50,1,74,38,0,769.0,0.0,361.0,68.0,0.0,0.0,0.0,0.0,
007,361,68,769,0,0,1,0,1,49,6,74,38,0,128.16666666666666,22.0,740.0,68.0,52.19355004851334,0.0,278.05035515172426,0.0,
007,361,68,150,22,0,1,0,1,38,2,63,33,0,162.5,307.0,356.0,83.5,112.42997820866105,391.7371567773473,7.0710678118654755,21.920310216782973,
007,351,99,242,584,0,1,0,0,36,2,60,30,0,242.0,328.0,175.5,49.5,0.0,362.03867196751236,248.19448019647817,70.0035713374682,
007,351,99,242,584,0,1,0,0,34,4,53,27,0,242.0,135.0,351.0,427.0,0.0,111.44505372604026,0.0,222.8901074520805,
007,361,68,83,30,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
007,657,68,204,22,0,0,0,1,1,1,3,1,0,182.0,21.0,657.0,68.0,0.0,0.0,0.0,0.0,
007,657,68,182,21,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,0,0,0,0,0,0,0,0,16,8,27,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,0,0,0,0,0,0,0,0,1,1,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,0,0,0,0,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,0,0,0,0,0,1,0,0,43,2,297,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,0,0,0,0,0,1,0,0,40,2,287,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,0,0,0,0,0,1,0,0,28,3,195,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
008,511,68,146,22,0,0,0,1,1,1,3,1,0,124.0,21.0,511.0,68.0,0.0,0.0,0.0,0.0,
008,511,68,124,21,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,861,68,107,22,0,0,0,1,1,1,2,1,0,85.0,21.0,861.0,68.0,0.0,0.0,0.0,0.0,
009,861,68,85,21,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,968,68,114,22,0,0,0,1,1,1,2,1,0,92.0,21.0,968.0,68.0,0.0,0.0,0.0,0.0,
009,968,68,92,21,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
010,1082,68,48,22,0,0,0,1,1,1,1,1,0,48.0,21.0,1082.0,68.0,0.0,0.0,0.0,0.0,
010,1082,68,48,21,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011,1201,9,340,44,0,0,0,0,1,1,0,0,0,340.0,39.0,1201.0,9.0,0.0,0.0,0.0,0.0,
011,1201,9,340,39,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011,0,100,1903,3744,0,1,0,1,1056,1,578,209,0,1903.0,3744.0,0.0,100.0,0.0,0.0,0.0,0.0,
011,0,100,1903,3744,0,1,0,1,1055,1,578,209,0,1903.0,3744.0,0.0,100.0,0.0,0.0,0.0,0.0,
011,0,100,1903,3744,0,1,0,1,1054,10,578,209,0,1903.0,372.4,0.0,1643.8,0.0,105.08324742264529,0.0,1173.624944823137,
011,0,100,1903,338,0,1,0,0,12,1,3,3,0,1903.0,338.0,0.0,100.0,0.0,0.0,0.0,0.0,
011,0,100,1903,338,0,1,0,0,11,1,3,3,0,1903.0,338.0,0.0,100.0,0.0,0.0,0.0,0.0,
011,0,100,1903,338,0,1,0,0,10,4,3,3,0,971.5,124.5,465.75,241.5,1075.6035515002727,147.2446943016963,931.5,126.56618821786489,
011,0,229,40,80,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011,0,100,1903,338,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011,1863,229,40,80,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
011,0,408,1903,0,0,0,0,0,6,3,3,3,0,20.0,20.0,941.0,408.0,0.0,0.0,20.0,0.0,
011,921,408,20,20,0,0,0,0,1,1,1,1,0,6.0,6.0,928.0,419.0,0.0,0.0,0.0,0.0,
011,928,419,6,6,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,921,408,20,20,0,0,0,0,1,1,1,1,0,6.0,6.0,928.0,419.0,0.0,0.0,0.0,0.0,
012,941,408,20,20,0,0,0,0,1,1,1,1,0,6.0,6.0,948.0,419.0,0.0,0.0,0.0,0.0,
012,948,419,6,6,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,961,408,20,20,0,0,0,0,1,1,1,1,0,10.0,10.0,966.0,417.0,0.0,0.0,0.0,0.0,
012,966,417,10,10,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,0,438,1903,150,0,0,0,0,26,1,27,8,0,1903.0,150.0,0.0,438.0,0.0,0.0,0.0,0.0,
012,0,438,1903,150,0,0,0,0,25,1,27,8,0,1180.0,90.0,361.0,468.0,0.0,0.0,0.0,0.0,
012,361,468,1180,90,0,0,0,0,24,3,27,8,0,393.3333333333333,90.0,739.6666666666666,468.0,170.01568555087303,0.0,440.42857915141394,0.0,
012,361,468,274,90,0,0,0,0,3,1,7,2,0,274.0,90.0,361.0,468.0,0.0,0.0,0.0,0.0,
012,361,468,274,90,0,0,0,0,2,2,7,2,0,233.0,22.5,381.0,501.0,0.0,3.5355339059327378,0.0,16.97056274847714,
012,381,489,233,25,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,381,513,233,20,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,635,468,588,90,0,0,0,0,12,2,14,4,0,293.0,130.0,781.5,468.0,0.0,0.0,207.18228688765842,0.0,
012,635,468,293,130,0,0,0,0,5,3,7,2,0,167.33333333333334,33.0,676.3333333333334,496.6666666666667,106.56609842409233,18.35755975068582,36.95041722813605,14.153915830374762,
012,655,488,48,54,0,0,0,0,1,1,0,0,0,48.0,48.0,655.0,488.0,0.0,0.0,0.0,0.0,
012,655,488,48,48,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,719,489,201,25,0,0,0,0,0,0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,655,513,253,20,0,0,0,0,1,1,2,1,0,53.0,20.0,719.0,513.0,0.0,0.0,0.0,0.0,
012,719,513,53,20,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,928,468,293,130,0,0,0,0,5,3,7,2,0,169.0,33.0,969.3333333333334,496.6666666666667,107.39180601889512,18.35755975068582,36.95041722813605,14.153915830374762,
012,948,488,48,54,0,0,0,0,1,1,0,0,0,48.0,48.0,948.0,488.0,0.0,0.0,0.0,0.0,
012,948,488,48,48,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,1012,489,206,25,0,0,0,0,0,0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,948,513,253,20,0,0,0,0,1,1,2,1,0,53.0,20.0,1012.0,513.0,0.0,0.0,0.0,0.0,
012,1012,513,53,20,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,1223,468,318,90,0,0,0,0,6,1,6,2,0,318.0,130.0,1223.0,468.0,0.0,0.0,0.0,0.0,
012,1223,468,318,130,0,0,0,0,5,3,6,2,0,180.0,33.0,1264.3333333333333,496.6666666666667,118.7097300140136,18.35755975068582,36.950417228136054,14.153915830374762,
012,1243,488,48,54,0,0,0,0,1,1,0,0,0,48.0,48.0,1243.0,488.0,0.0,0.0,0.0,0.0,
012,1243,488,48,48,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,1307,489,214,25,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,1243,513,278,20,0,0,0,0,1,1,2,1,0,59.0,20.0,1307.0,513.0,0.0,0.0,0.0,0.0,
012,1307,513,59,20,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,0,558,1903,427,0,0,0,0,306,1,229,99,0,1200.0,427.0,351.0,558.0,0.0,0.0,0.0,0.0,
012,351,558,1200,427,0,0,0,0,305,2,229,99,0,748.5,172.5,351.0,614.5,638.5174234114525,200.11121907579295,0.0,37.476659402887016,
012,351,588,297,31,0,0,0,0,2,2,5,2,0,136.5,25.0,473.5,593.0,108.18733752154178,8.48528137423857,161.92745289171938,7.0710678118654755,
012,359,588,213,31,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
012,351,641,1200,314,0,0,0,0,301,1,224,97,0,1200.0,392.0,351.0,641.0,0.0,0.0,0.0,0.0,
012,351,641,1200,392,0,0,0,0,300,3,224,97,0,442.6666666666667,173.33333333333334,117.0,280.3333333333333,655.8699057994148,189.37088829419724,202.64994448555865,312.3464956315875,
012,351,641,1200,392,0,0,0,0,297,1,224,97,0,7200.0,330.0,351.0,641.0,0.0,0.0,0.0,0.0,
012,351,641,7200,330,0,0,0,0,296,20,224,97,0,240.0,165.5,2631.0,641.0,0.0,168.77343891800783,1419.8591479439078,0.0,
012,831,641,240,330,0,0,0,0,27,1,25,10,0,224.0,314.0,839.0,641.0,0.0,0.0,0.0,0.0,
012,839,641,224,314,0,0,0,0,26,1,25,10,0,224.0,314.0,839.0,641.0,0.0,0.0,0.0,0.0,
012,839,641,224,314,0,0,0,0,25,5,25,10,0,96.8,76.8,335.6,361.2,117.04358162667442,96.63953642272918,459.53922574683435,366.3259477569122,
012,839,641,224,224,0,0,0,0,2,2,0,0,0,112.0,112.0,419.5,370.5,158.39191898578665,158.39191898578665,593.2625894155134,382.54476862192223,
012,839,641,224,224,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,921,408,20,20,0,0,0,0,1,1,1,1,0,6.0,6.0,928.0,419.0,0.0,0.0,0.0,0.0,
013,941,408,20,20,0,0,0,0,1,1,1,1,0,6.0,6.0,948.0,419.0,0.0,0.0,0.0,0.0,
013,961,408,20,20,0,0,0,0,1,1,1,1,0,6.0,6.0,968.0,419.0,0.0,0.0,0.0,0.0,
013,588,598,60,19,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,327,761,64,64,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,351,641,240,330,0,0,0,0,31,1,29,11,0,224.0,314.0,359.0,641.0,0.0,0.0,0.0,0.0,
013,359,641,224,314,0,0,0,0,30,1,29,11,0,224.0,314.0,359.0,641.0,0.0,0.0,0.0,0.0,
013,359,641,224,314,0,0,0,0,29,5,29,11,0,96.8,76.8,143.6,361.2,117.04358162667442,96.63953642272918,196.63239814435462,366.3259477569122,
013,359,641,224,224,0,0,0,0,2,2,0,0,0,112.0,112.0,179.5,370.5,158.39191898578665,158.39191898578665,253.85133444597056,382.54476862192223,
013,359,641,224,224,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,359,865,224,124,0,0,0,0,20,3,29,11,0,129.33333333333334,39.0,432.3333333333333,891.6666666666666,80.82903768654761,5.196152422706632,85.44783984006462,45.61067126598043,
013,383,888,176,45,0,0,0,0,14,4,14,9,0,87.5,21.25,400.25,889.0,59.98055240381391,1.8929694486000912,33.83661724621222,19.200694431886223,
013,384,866,43,21,0,0,0,0,5,5,3,3,0,9.6,10.2,242.6,559.6,11.058933040759403,10.52140675005011,221.98828797934362,419.55547904895724,
013,383,888,68,24,0,0,0,0,5,5,4,4,0,17.2,12.8,249.6,572.8,16.813684902483452,12.132600710482482,229.12071054359097,431.6053753140709,
013,383,888,29,24,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,414,888,37,24,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,451,889,63,20,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,383,913,176,20,0,0,0,0,0,0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,383,939,176,36,0,0,0,0,0,0,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,591,641,240,330,0,0,0,0,31,1,24,11,0,224.0,314.0,599.0,641.0,0.0,0.0,0.0,0.0,
013,599,641,224,314,0,0,0,0,30,1,24,11,0,224.0,314.0,599.0,641.0,0.0,0.0,0.0,0.0,
013,599,641,224,314,0,0,0,0,29,5,24,11,0,96.8,76.8,239.6,361.2,117.04358162667442,96.63953642272918,328.08581194559446,366.3259477569122,
013,599,641,224,224,0,0,0,0,2,2,0,0,0,112.0,112.0,299.5,370.5,158.39191898578665,158.39191898578665,423.556961930742,382.54476862192223,
013,599,641,224,224,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,599,865,224,124,0,0,0,0,20,3,24,11,0,129.33333333333334,39.0,672.3333333333334,891.6666666666666,80.82903768654761,5.196152422706632,85.44783984006462,45.61067126598043,
013,623,888,176,45,0,0,0,0,14,4,12,9,0,89.75,21.25,641.75,889.0,58.98234199035052,1.8929694486000912,36.83634980106832,19.200694431886223,
013,624,866,43,21,0,0,0,0,5,5,3,3,0,10.8,10.2,386.6,559.6,10.894952959971878,10.52140675005011,353.2460898580478,419.55547904895724,
013,623,888,74,24,0,0,0,0,5,5,4,4,0,18.4,12.8,394.8,572.8,18.689569283426515,12.132600710482482,361.35813260531444,431.6053753140709,
013,623,888,29,24,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,654,888,43,24,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,697,889,66,20,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,623,913,176,20,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,623,939,176,36,0,0,0,0,0,0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,839,865,224,124,0,0,0,0,16,2,25,10,0,176.0,40.5,863.0,913.5,0.0,6.363961030678928,0.0,36.062445840513924,
013,863,888,176,45,0,0,0,0,14,4,14,9,0,93.25,21.25,883.25,889.0,56.423251708257055,1.8929694486000912,39.83612263595274,19.200694431886223,
013,864,866,51,21,0,0,0,0,5,5,3,3,0,12.4,10.2,532.2,559.6,13.722244714331545,10.52140675005011,486.174042910561,419.55547904895724,
013,863,888,80,24,0,0,0,0,5,5,4,4,0,19.8,12.8,540.0,572.8,20.7533129885327,12.132600710482482,493.77474621531627,431.6053753140709,
013,863,888,29,24,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,894,888,49,24,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,943,889,66,20,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,863,913,176,20,0,0,0,0,0,0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,863,939,176,36,0,0,0,0,0,0,11,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,0,100,36,36,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,
013,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,1071,641,240,330,0,0,0,0,20,1,17,6,0,224.0,314.0,1079.0,641.0,0.0,0.0,0.0,0.0,
013,1079,641,224,314,0,0,0,0,19,1,17,6,0,224.0,314.0,1079.0,641.0,0.0,0.0,0.0,0.0,
013,1079,641,224,314,0,0,0,0,18,5,17,6,0,96.8,76.8,431.6,361.2,117.04358162667442,96.63953642272918,590.9926395480742,366.3259477569122,
013,1079,641,224,224,0,0,0,0,2,2,0,0,0,112.0,112.0,539.5,370.5,158.39191898578665,158.39191898578665,762.9682169002848,382.54476862192223,
013,1079,641,224,224,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,1079,865,224,124,0,0,0,0,9,2,17,6,0,176.0,40.5,1103.0,913.5,0.0,6.363961030678928,0.0,36.062445840513924,
013,1103,888,176,45,0,0,0,0,7,2,7,5,0,131.5,22.0,1103.0,900.5,62.932503525602726,2.8284271247461903,0.0,17.67766952966369,
013,1103,888,87,24,0,0,0,0,5,5,4,4,0,21.2,12.8,685.4,572.8,23.29592238998061,12.132600710482482,626.4581390643751,431.6053753140709,
013,1103,888,29,24,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,1134,888,56,24,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,1103,913,176,20,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,1103,939,176,36,0,0,0,0,0,0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,1311,641,240,330,0,0,0,0,31,1,22,11,0,224.0,314.0,1319.0,641.0,0.0,0.0,0.0,0.0,
013,1319,641,224,314,0,0,0,0,30,1,22,11,0,224.0,314.0,1319.0,641.0,0.0,0.0,0.0,0.0,
013,1319,641,224,314,0,0,0,0,29,5,22,11,0,96.8,76.8,527.6,361.2,117.04358162667442,96.63953642272918,722.4460533493141,366.3259477569122,
013,1319,641,224,224,0,0,0,0,2,2,0,0,0,112.0,112.0,659.5,370.5,158.39191898578665,158.39191898578665,932.6738443850562,382.54476862192223,
013,1319,641,224,224,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,1319,865,224,124,0,0,0,0,20,3,22,11,0,129.33333333333334,39.0,1392.3333333333333,891.6666666666666,80.82903768654761,5.196152422706632,85.44783984006462,45.61067126598043,
013,1343,888,176,45,0,0,0,0,14,4,14,9,0,89.75,21.25,1361.75,889.0,58.98234199035052,1.8929694486000912,36.83634980106832,19.200694431886223,
013,1344,866,43,21,0,0,0,0,5,5,3,3,0,10.8,10.2,818.6,559.6,10.894952959971878,10.52140675005011,747.4321373877364,419.55547904895724,
013,1343,888,74,24,0,0,0,0,5,5,4,4,0,18.4,12.8,826.8,572.8,18.689569283426515,12.132600710482482,755.2189748675545,431.6053753140709,
013,1343,888,29,24,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,1374,888,43,24,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,1417,889,66,20,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,1343,913,176,20,0,0,0,0,0,0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
013,1343,939,176,36,0,0,0,0,0,0,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
